来源	文件	位置	原文	参考译文	填写中文	长度状态
UI	lang0.pak	DST_ACCOUNT_CREATE_SUCCESS	"[align = ""center""][font size = ""12"" color=""f4d762""]Account Creation Successful[/font][br][br][font size = ""10"" color=""ffffff""]Your account has been created and should[br]now have access to Dragon Ball Online[/font]"			
UI	lang0.pak	DST_ACCOUNT_SERVER_CONNECT_FAIL	"[align = ""center""][font size = ""12"" color=""f4d762""]Authentication Failure[/font][br][br][font size = ""10"" color=""f36a7c""]You've failed to connect to[br]the authentication server.[/font][br][br][font size = ""10"" color=""ffffff""]Please try again in a few minutes.[/font]"			
UI	lang0.pak	DST_ACTION_TYPE_NORMAL	Normal			
UI	lang0.pak	DST_ACTION_TYPE_SOCIAL	Social			
UI	lang0.pak	DST_AGGROLIST_TITLE	Aggro List			
UI	lang0.pak	DST_AGGROPT_AVATAR	Your Aggro.			
UI	lang0.pak	DST_AGGROPT_PARTY	Party's Aggro.			
UI	lang0.pak	DST_AGGROPT_PET	Pet's Aggro.			
UI	lang0.pak	DST_AIRING_POSE	Motion posture			
UI	lang0.pak	DST_AIR_AP_GUI_COMMENT	AP is consumed only during accelerated flying.\nIt regenerates while you fly slowly or while on ground.			
UI	lang0.pak	DST_AIR_CAN_NOT_FLY	You can't fly right now.			
UI	lang0.pak	DST_AIR_CAN_NOT_USE_BATTLE_MODE	You can't fly during a fight.			
UI	lang0.pak	DST_AIR_EFFECT	Air effect			
UI	lang0.pak	DST_AIR_POSE	Air pose			
UI	lang0.pak	DST_ALRAM_ITEMBOX_USE	"[align = ""center""][font size = ""9"" color=""269eff""]%s[/font][br]Popo's Chest box contains an exp. scroll."			
UI	lang0.pak	DST_ALREADY_EXIST_SAME_TYPE_EQIP	That type has already been equipped.			
UI	lang0.pak	DST_ALREADY_SAME_CHANNEL	You are already on this Channel			
UI	lang0.pak	DST_ASK_CHANGE_CHANNEL	"[align = ""center""][font size = ""12"" color=""f4d762""]Change Channel[/font][br][br][font size = ""10"" color=""ffffff""]You're about to change channel.[/font]"			
UI	lang0.pak	DST_AUTO_RECOVER_ARRAY	Remaining amount of recovery: %s			
UI	lang0.pak	DST_AUTO_RECOVER_COMMENT	If %s less than %d%% recover %d%% 			
UI	lang0.pak	DST_AUTO_RECOVER_COMMENT1	Must wait %s seconds after recovery			
UI	lang0.pak	DST_AVATAR_SEX_FEMALE	Female			
UI	lang0.pak	DST_AVATAR_SEX_MALE	Male			
UI	lang0.pak	DST_AVATAR_SEX_NOT_EXIST	No Gender			
UI	lang0.pak	DST_AXE	Axe			
UI	lang0.pak	DST_A_DAY	Date			
UI	lang0.pak	DST_BACKDST_PACK	Backpack			
UI	lang0.pak	DST_TAIL	Tail			
UI	lang0.pak	DST_BAG_REMOTE_SELL	Remote Sales			
UI	lang0.pak	DST_BAG_SLOT	Bag Slot			
UI	lang0.pak	DST_BAG_TITLE	Inventory			
UI	lang0.pak	DST_BASE_POSE	Basic Position			
UI	lang0.pak	DST_BATTLEATTR_ARMOR	Armor Properties: 			
UI	lang0.pak	DST_BATTLEATTR_ATTACK_RATE	Damage %.0f%%			
UI	lang0.pak	DST_BATTLEATTR_ATTACK_RATE_TARGET	 Attack Attribute: %.0f%%			
UI	lang0.pak	DST_BATTLEATTR_ATTR	Attributes: 			
UI	lang0.pak	DST_BATTLEATTR_DEFENCE_RATE	Defense %.0f%%			
UI	lang0.pak	DST_BATTLEATTR_DEFENCE_RATE_TARGET	 Defense Attribute: %.0f%%			
UI	lang0.pak	DST_BATTLEATTR_ON_TARGET	On Target			
UI	lang0.pak	DST_BATTLEATTR_WEAPON	Weapon Properties: 			
UI	lang0.pak	DST_BATTLE_ATTRIBUTE_CHANG_ZENNY_ERR	Insufficient Zeni.			
UI	lang0.pak	DST_BATTLE_CAN_NOT_ATTACK_TARGET	Can't attack.			
UI	lang0.pak	DST_BAZOOKA	Bazooka			
UI	lang0.pak	DST_BENEFIT_ADD_EXP_PC	%d%% Bonus EXP			
UI	lang0.pak	DST_BENEFIT_ADD_USE_NETSTORE_PC	NetStore Available			
UI	lang0.pak	DST_BENEFIT_ADD_VEHICLE_SPEED_PC	%d%% Bonus Vehicle speed			
UI	lang0.pak	DST_BENEFIT_ADD_ZENNY_PC	%d%% Bonus Zeni			
UI	lang0.pak	DST_BENEFIT_BASIC_TITLE	Bonus			
UI	lang0.pak	DST_BIND_SUCCESS	This is your new Home Teleport area!			
UI	lang0.pak	DST_BIND_TEXT	"[align = ""center""][font size = ""12"" color=""f4d762""]Home Teleport[/font][br][br][font size = ""10"" color=""269eff""]When the player dies he can re-spawn[br]to his chosen Popo Stone.[/font][br][br][font size = ""10"" color=""ffffff""]Change your Home Teleport[br]Location to this Area?[/font]"			
UI	lang0.pak	DST_BLEED_DEFENCE	Bleeding Def.			
UI	lang0.pak	DST_BLOCK_MODE_COOLTIME	Block is on cooldown			
UI	lang0.pak	DST_BLOCK_WATCH_MY_EQUIP	Scan jammed			
UI	lang0.pak	DST_CCBD_FINISH_MSG	%s CLEARED CC Battle Dungeon 40 Floor			
UI	lang0.pak	DST_BROADCAST_CCBD_CLEAR	%s CLEARED CC Battle Dungeon 200 Floor			
UI	lang0.pak	DST_BROADCAST_CCBD_CLEAR_USER_NOT_FOUND	CC Battle Dungeon 200 Floor WAS CLEARED			
UI	lang0.pak	DST_BUDOKAI_INDI_DOJO_RECOMMNED	Dojo Finalists			
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_CANCEL	"[align =""center""][font size=""12""color=""f4d762""]Cancel Registration[/font][br][br][font size=""10""color=""f36a7c""]Are you sure to cancel the registration?[/font]"			
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_CLASS	Class			
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_GUILD	Guild			
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_LEVEL	Level			
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_NAME	Name			
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_RANKING	Battle Points			
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_RECORD	Battle Rank			
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_RECORD_DATA	%dW %dL %dD			
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_16	RO16			
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_16_WAIT	RO16 standby			
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_32	RO32			
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_32_WAIT	RO32 standby			
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_8	RO8			
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_8_WAIT	RO8 standby			
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_END	Awards			
