source_text_sample	source_hash	occurrences	surface_count	surfaces	locations	manual_translations
@	9a78211436f6	109934	2	lang0,taiwan	taiwan:local_data.dat:DST_STATUS_TOOLTIP_ATTACK_RATING | taiwan:local_data.dat:DST_STATUS_TOOLTIP_DEFENCE_BLEED | taiwan:local_data.dat:DST_STATUS_TOOLTIP_DEFENCE_DEFENCE | taiwan:local_data.dat:DST_STATUS_TOOLTIP_DEFENCE_POISON | taiwan:local_data.dat:DST_STATUS_TOOLTIP_DEFENCE_STOMCHACHE | taiwan:local_data.dat:DST_STATUS_TOOLTIP_DODGE_RATING | taiwan:local_data.dat:DST_STATUS_TOOLTIP_ENERGY_ATTACK | taiwan:local_data.dat:DST_STATUS_TOOLTIP_ENERGY_CRITICAL | taiwan:local_data.dat:DST_STATUS_TOOLTIP_ENERGY_DEFENCE | taiwan:local_data.dat:DST_STATUS_TOOLTIP_PHYSICAL_ATTACK | taiwan:local_data.dat:DST_STATUS_TOOLTIP_PHYSICAL_CRITICAL | taiwan:local_data.dat:DST_STATUS_TOOLTIP_PHYSICAL_DEFENCE | taiwan:table_quest_text_data.rdf:106 | taiwan:table_quest_text_data.rdf:110 | taiwan:table_quest_text_data.rdf:113 | taiwan:table_quest_text_data.rdf:116 | taiwan:table_quest_text_data.rdf:117 | taiwan:table_quest_text_data.rdf:118 | taiwan:table_quest_text_data.rdf:119 | taiwan:table_quest_text_data.rdf:125 | taiwan:table_quest_text_data.rdf:126 | taiwan:table_quest_text_data.rdf:127 | taiwan:table_quest_text_data.rdf:128 | taiwan:table_quest_text_data.rdf:129	命中率 [taiwan:local_data.dat:DST_STATUS_TOOLTIP_ATTACK_RATING] | 回避率 [taiwan:local_data.dat:DST_STATUS_TOOLTIP_DODGE_RATING]
Item box	a238ecdfbb85	200	2	lang0,tbl	lang0:lang0.pak:DST_MOB_TYPE_ITEM_BOX | tbl:tbl1.pak:0x016D2309 | tbl:tbl1.pak:0x016D231F | tbl:tbl1.pak:0x016D2335 | tbl:tbl1.pak:0x016D234B | tbl:tbl1.pak:0x016D2361 | tbl:tbl1.pak:0x016D2377 | tbl:tbl1.pak:0x016D238D | tbl:tbl1.pak:0x016D23A3 | tbl:tbl1.pak:0x016D23B9 | tbl:tbl1.pak:0x016D23CF | tbl:tbl1.pak:0x016D23E5 | tbl:tbl1.pak:0x016D23FB | tbl:tbl1.pak:0x016D2411 | tbl:tbl1.pak:0x016D2427 | tbl:tbl1.pak:0x016D243D | tbl:tbl1.pak:0x016D2453 | tbl:tbl1.pak:0x016D2469 | tbl:tbl1.pak:0x016D247F | tbl:tbl1.pak:0x016D2495 | tbl:tbl1.pak:0x016D24AB | tbl:tbl1.pak:0x016D24C1 | tbl:tbl1.pak:0x016D24D7 | tbl:tbl1.pak:0x016D24ED	
Accessories	f3b50cd53cc4	54	2	lang0,tbl	lang0:lang0.pak:DST_SCOUTER_PC_VIEWER_ACCESARY | tbl:tbl1.pak:0x016C330E | tbl:tbl1.pak:0x016C3358 | tbl:tbl1.pak:0x016C33A2 | tbl:tbl1.pak:0x016C345A | tbl:tbl1.pak:0x016C3D2E | tbl:tbl1.pak:0x016C3D78 | tbl:tbl1.pak:0x016C3DC2 | tbl:tbl1.pak:0x016C3E0C | tbl:tbl1.pak:0x016C41F4 | tbl:tbl1.pak:0x016C423E | tbl:tbl1.pak:0x016C4288 | tbl:tbl1.pak:0x016C434C | tbl:tbl1.pak:0x016C4758 | tbl:tbl1.pak:0x016C47A2 | tbl:tbl1.pak:0x016C47EC | tbl:tbl1.pak:0x016C488A | tbl:tbl1.pak:0x016C5254 | tbl:tbl1.pak:0x016C529E | tbl:tbl1.pak:0x016C52E8 | tbl:tbl1.pak:0x016C53F6 | tbl:tbl1.pak:0x016C5440 | tbl:tbl1.pak:0x016C548A | tbl:tbl1.pak:0x016C5BFE	
Cell Armor (Pants)	848921ffa454	47	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111600810:0 | taiwan:table_text_all_data.rdf:3:111600840:0 | taiwan:table_text_all_data.rdf:3:111600870:0 | tbl:tbl1.pak:0x014BD361 | tbl:tbl1.pak:0x014BFC6B | tbl:tbl1.pak:0x014C0BD1 | tbl:tbl1.pak:0x014C218B | tbl:tbl1.pak:0x014C30C7 | tbl:tbl1.pak:0x014C4C69 | tbl:tbl1.pak:0x014C5B81 | tbl:tbl1.pak:0x014C7571 | tbl:tbl1.pak:0x014C84D7 | tbl:tbl1.pak:0x014C9A91 | tbl:tbl1.pak:0x014CA9CD | tbl:tbl1.pak:0x014CC56D | tbl:tbl1.pak:0x014CD485 | tbl:tbl1.pak:0x014CE40F | tbl:tbl1.pak:0x014CF375 | tbl:tbl1.pak:0x014D02D5 | tbl:tbl1.pak:0x014D1211 | tbl:tbl1.pak:0x014D214D | tbl:tbl1.pak:0x014D3065 | tbl:tbl1.pak:0x014D4A55 | tbl:tbl1.pak:0x014D59BB	沙鲁盔甲(裤子) [taiwan:table_text_all_data.rdf:3:111600810:0] | 沙鲁盔甲(裤子) [taiwan:table_text_all_data.rdf:3:111600840:0] | 沙鲁盔甲(裤子) [taiwan:table_text_all_data.rdf:3:111600870:0]
Cell Armor (Shoes)	701ba91a2894	47	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111600820:0 | taiwan:table_text_all_data.rdf:3:111600850:0 | taiwan:table_text_all_data.rdf:3:111600880:0 | tbl:tbl1.pak:0x014BD393 | tbl:tbl1.pak:0x014BFC9D | tbl:tbl1.pak:0x014C0C03 | tbl:tbl1.pak:0x014C21BD | tbl:tbl1.pak:0x014C30F9 | tbl:tbl1.pak:0x014C4C9B | tbl:tbl1.pak:0x014C5BB3 | tbl:tbl1.pak:0x014C75A3 | tbl:tbl1.pak:0x014C8509 | tbl:tbl1.pak:0x014C9AC3 | tbl:tbl1.pak:0x014CA9FF | tbl:tbl1.pak:0x014CC59F | tbl:tbl1.pak:0x014CD4B7 | tbl:tbl1.pak:0x014CE441 | tbl:tbl1.pak:0x014CF3A7 | tbl:tbl1.pak:0x014D0307 | tbl:tbl1.pak:0x014D1243 | tbl:tbl1.pak:0x014D217F | tbl:tbl1.pak:0x014D3097 | tbl:tbl1.pak:0x014D4A87 | tbl:tbl1.pak:0x014D59ED	沙鲁盔甲(鞋子) [taiwan:table_text_all_data.rdf:3:111600820:0] | 沙鲁盔甲(鞋子) [taiwan:table_text_all_data.rdf:3:111600850:0] | 沙鲁盔甲(鞋子) [taiwan:table_text_all_data.rdf:3:111600880:0]
Cell Armor (Top)	440672b621e0	47	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:111600800:0 | taiwan:table_text_all_data.rdf:3:111600830:0 | taiwan:table_text_all_data.rdf:3:111600860:0 | tbl:tbl1.pak:0x014BD333 | tbl:tbl1.pak:0x014BFC3D | tbl:tbl1.pak:0x014C0BA3 | tbl:tbl1.pak:0x014C215D | tbl:tbl1.pak:0x014C3099 | tbl:tbl1.pak:0x014C4C3B | tbl:tbl1.pak:0x014C5B53 | tbl:tbl1.pak:0x014C7543 | tbl:tbl1.pak:0x014C84A9 | tbl:tbl1.pak:0x014C9A63 | tbl:tbl1.pak:0x014CA99F | tbl:tbl1.pak:0x014CC53F | tbl:tbl1.pak:0x014CD457 | tbl:tbl1.pak:0x014CE3E1 | tbl:tbl1.pak:0x014CF347 | tbl:tbl1.pak:0x014D02A7 | tbl:tbl1.pak:0x014D11E3 | tbl:tbl1.pak:0x014D211F | tbl:tbl1.pak:0x014D3037 | tbl:tbl1.pak:0x014D4A27 | tbl:tbl1.pak:0x014D598D	沙鲁盔甲(上衣) [taiwan:table_text_all_data.rdf:3:111600800:0] | 沙鲁盔甲(上衣) [taiwan:table_text_all_data.rdf:3:111600830:0] | 沙鲁盔甲(上衣) [taiwan:table_text_all_data.rdf:3:111600860:0]
Scouter	8bcb090d6225	42	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_SCOUTER | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_SCOUTER | lang0:lang0.pak:DST_MARKET_SCOUTER | lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_SCOUTER | lang0:lang0.pak:DST_SCOUTER_SCOUTER_NAME | tbl:tbl1.pak:0x016C34F0 | tbl:tbl1.pak:0x016C3504 | tbl:tbl1.pak:0x016C3E56 | tbl:tbl1.pak:0x016C3E6A | tbl:tbl1.pak:0x016C43E2 | tbl:tbl1.pak:0x016C43F6 | tbl:tbl1.pak:0x016C4920 | tbl:tbl1.pak:0x016C4934 | tbl:tbl1.pak:0x016C5568 | tbl:tbl1.pak:0x016C557C | tbl:tbl1.pak:0x016C5590 | tbl:tbl1.pak:0x016C5FA4 | tbl:tbl1.pak:0x016C5FB8 | tbl:tbl1.pak:0x016C5FCC | tbl:tbl1.pak:0x016C5FE0 | tbl:tbl1.pak:0x016C6958 | tbl:tbl1.pak:0x016C696C | tbl:tbl1.pak:0x016C7EC2 | tbl:tbl1.pak:0x016C7ED6	探测器 [taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_SCOUTER] | 史考特 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_SCOUTER] | 史考特 [lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_WINDOW_SCOUTER] | 史考特 [lang0:lang0.pak:DST_MARKET_SCOUTER]
Cancel	77dfd2135f4d	35	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_CANCEL | lang0:lang0.pak:DST_BUDOKAI_REQ_BUTTON_CANCEL | lang0:lang0.pak:DST_CCBD_AGREE_CANCEL_ENTER | lang0:lang0.pak:DST_DOJO_SCRAMBLE_ACCEPT_CHALLENGE_CANCEL_BTN | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CONFIRM_CANCEL | lang0:lang0.pak:DST_HLS_CONFIRM_BTN_CANCEL | lang0:lang0.pak:DST_ITEMUPGRADE_BTN_CANCEL | lang0:lang0.pak:DST_LOBBY_CANCLE | lang0:lang0.pak:DST_LOBBY_CANCLE2 | lang0:lang0.pak:DST_MARKET_SELL_NOT | lang0:lang0.pak:DST_MSG_BTN_CANCEL | lang0:lang0.pak:DST_OPTION_CANCEL | lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_GLOBAL_CANCLE | lang0:lang0.pak:DST_PARTY_ROLE_CANCEL | lang0:lang0.pak:DST_POPUPMENU_CANCEL | lang0:lang0.pak:DST_PRIVATESHOP_BUSINESS_TRADEBOX_CANCEL | lang0:lang0.pak:DST_QUEST_CANCEL_BTN | lang0:lang0.pak:DST_RB_BTN_CANCEL | lang0:lang0.pak:DST_RB_CANCEL | lang0:lang0.pak:DST_TREASURECANCEL | tbl:tbl0.pak:0x00D60192 | tbl:tbl0.pak:0x00D603F0 | tbl:tbl0.pak:0x00D60650 | tbl:tbl0.pak:0x00D609E2	取消 [lang0:lang0.pak:DST_LOBBY_CANCLE] | 取消 [lang0:lang0.pak:DST_LOBBY_CANCLE2] | 取消 [lang0:lang0.pak:DST_MSG_BTN_CANCEL] | 取消 [lang0:lang0.pak:DST_OPTION_CANCEL] | 取消 [lang0:lang0.pak:DST_OPTION_CONTROL_ACTION_GLOBAL_CANCLE] | 取消 [lang0:lang0.pak:DST_POPUPMENU_CANCEL] | 取消 [lang0:lang0.pak:DST_MARKET_SELL_NOT]
Event Items	c54155196347	29	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_OPTION_DROPFILTER_JUNK | lang0:lang0.pak:DST_EVENT_ITEM | lang0:lang0.pak:DST_OPTION_DROPFILTER_JUNK | tbl:tbl1.pak:0x01802FE9 | tbl:tbl1.pak:0x01803005 | tbl:tbl1.pak:0x01803021 | tbl:tbl1.pak:0x0180303D | tbl:tbl1.pak:0x01803059 | tbl:tbl1.pak:0x01803075 | tbl:tbl1.pak:0x01803091 | tbl:tbl1.pak:0x018030AD | tbl:tbl1.pak:0x018030C9 | tbl:tbl1.pak:0x018030E5 | tbl:tbl1.pak:0x01803101 | tbl:tbl1.pak:0x0180311D | tbl:tbl1.pak:0x01803139 | tbl:tbl1.pak:0x01803155 | tbl:tbl1.pak:0x01803171 | tbl:tbl1.pak:0x0180318D | tbl:tbl1.pak:0x018031A9 | tbl:tbl1.pak:0x018031C5 | tbl:tbl1.pak:0x018031E1 | tbl:tbl1.pak:0x018031FD | tbl:tbl1.pak:0x01803219	活动物品 [lang0:lang0.pak:DST_OPTION_DROPFILTER_JUNK]
Gloves	1fb2c11ac7e2	23	2	lang0,tbl	lang0:lang0.pak:DST_GLOVE | tbl:tbl0.pak:0x0128455F | tbl:tbl1.pak:0x016C326A | tbl:tbl1.pak:0x016C3404 | tbl:tbl1.pak:0x016C3C6A | tbl:tbl1.pak:0x016C4144 | tbl:tbl1.pak:0x016C42EA | tbl:tbl1.pak:0x016C46B6 | tbl:tbl1.pak:0x016C4836 | tbl:tbl1.pak:0x016C5332 | tbl:tbl1.pak:0x016C5C92 | tbl:tbl1.pak:0x016C5E34 | tbl:tbl1.pak:0x016C66A0 | tbl:tbl1.pak:0x016C67AE | tbl:tbl1.pak:0x016C74F0 | tbl:tbl1.pak:0x016C775C | tbl:tbl1.pak:0x016C79B8 | tbl:tbl1.pak:0x016C7BB2 | tbl:tbl1.pak:0x016C8E66 | tbl:tbl1.pak:0x016C94C0 | tbl:tbl1.pak:0x016C9C88 | tbl:tbl1.pak:0x0147F1A9 | tbl:tbl1.pak:0x0186328D	
