# file	id	source_text	translation
# id can be 0x... from tbl_candidates.tsv, or * to replace every matching UTF-16LE string in that file.
tbl0.pak	*	AzureRenegade	苍蓝叛逆者
tbl0.pak	*	BurningRenegade	燃烧叛逆者
tbl1.pak	*	Azure Renegade	苍蓝叛逆者
tbl1.pak	*	Burning Renegade	燃烧叛逆者
tbl1.pak	*	Shadow Sovereign Fan	暗影暴君扇
tbl1.pak	*	Shadow Sovereign Stick	暗影暴君棒
tbl1.pak	*	Shadow Sovereign Wand	暗影暴君短棍
tbl1.pak	*	Shadow Sovereign Trumpet	暗影暴君号
tbl1.pak	*	Shadow Sovereign Club	暗影暴君棍
tbl1.pak	*	Shadow Sovereign Sword	暗影暴君剑
tbl1.pak	*	Shadow Sovereign Scroll	暗影暴君卷轴
tbl1.pak	*	Shadow Sovereign Axe	暗影暴君斧
tbl1.pak	*	Shadow Sovereign Claws	暗影暴君爪
tbl1.pak	*	Shadow Sovereign Drums	暗影暴君鼓
tbl1.pak	*	Shadow Sovereign Mask	暗影暴君面具
tbl1.pak	*	Shadow Sovereign Gems	暗影暴君宝石
tbl1.pak	*	Shadow Sovereign Armor	暗影暴君盔甲
tbl1.pak	*	Shadow Sovereign Pants	暗影暴君裤子
tbl1.pak	*	Shadow Sovereign Shoes	暗影暴君鞋子
tbl1.pak	*	Shadow Sovereign Staff	暗影暴君杖
tbl1.pak	*	Shadow Mech Dragon Ring X Type A	暗影机械暴龙戒指X型A
tbl1.pak	*	Shadow Mech Dragon Ring X Type B	暗影机械暴龙戒指X型B
tbl1.pak	*	Shadow Mech Dragon Necklace X	暗影机械暴龙项链X
tbl1.pak	*	Shadow Mech Dragon Earring X Type A	暗影机械暴龙耳环X型A
tbl1.pak	*	Shadow Mech Dragon Earring X Type B	暗影机械暴龙耳环X型B
tbl1.pak	*	(Energy)Shadow Sovereign Gloves	暗影暴君气功手套
tbl1.pak	*	(Physical)Shadow Sovereign Gloves	暗影暴君物理手套
tbl1.pak	*	Bardock's Fan	巴达克的粉丝
# TAIWAN_OVERLAP_DISABLED_20260608	same_source_translation_in_taiwan_rdf	refs=table_text_all_data.rdf:5:44982101:0
tbl1.pak	*	Krillin	克林
tbl1.pak	*	Bright Red Dragon	奥西里斯之天空龙
tbl1.pak	*	Shiny Blue Dragon	欧贝利斯克之巨神兵
tbl1.pak	*	Legendary Super Saiyan (Super)	传说超级赛亚人(超)
tbl1.pak	*	Golden Oozaru	黄金巨猿
tbl1.pak	*	Tournament Bacterian	武道会细菌队长
tbl1.pak	*	Tournament Giran	武道会基兰
tbl1.pak	*	Tournament Chaos	武道会饺子
tbl1.pak	*	Tournament King Chappa	武道会查帕王
tbl1.pak	*	Tournament Tien	武道会天津饭
tbl1.pak	*	Tournament Yamcha	武道会雅木茶
tbl1.pak	*	Tournament Goku	武道会孙悟空
tbl1.pak	*	Goku(Super)	孙悟空(超)
tbl1.pak	*	Vegeta(Super)	贝吉塔(超)
tbl1.pak	*	Increase Physical Defense Penetration %d%%	增加物理防御穿透%d%%
tbl1.pak	*	Increase Energy Defense Penetration %d%%	增加气功防御穿透%d%%
tbl1.pak	*	Increase Defense Penetration %d%%	增加防御穿透%d%%
# TAIWAN_OVERLAP_DISABLED_20260608	translation_in_taiwan_item_tables	refs=table_text_all_data.rdf:3:29830050:0
tbl1.pak	*	Sun Steel	太阳钢
tbl1.pak	0x017146F3	Shadow Mech Dragon X	暗影机械暴龙X
tbl1.pak	0x01713D0F	Ozaru Broly	巨猿布罗利
# TAIWAN_OVERLAP_DISABLED_20260608	same_source_translation_in_taiwan_rdf	refs=table_text_all_data.rdf:6:1211301:0
# tbl1.pak	*	Fajita	肥吉塔
# DISABLED_DUPLICATE_AFTER_SOURCE_REFRESH	tbl1.pak	0x0172CD3A	Goku's Fan	孙悟空的粉丝
tbl1.pak	*	Raditz	拉蒂兹
tbl1.pak	*	Vegeta	贝吉塔
tbl1.pak	*	Ozaru Vegeta	巨猿贝吉塔
tbl1.pak	*	Ozaru Raditz	巨猿拉蒂兹
tbl1.pak	*	Ozaru Nappa	巨猿纳帕

# Class-tag candidate translations
tbl0.pak	0x013B8579	(Martial) Potion Super Saiyan 1	(武道家)超级赛亚人1药水
tbl0.pak	0x013B86F5	(Martial) Potion Super Saiyan 2	(武道家)超级赛亚人2药水
tbl0.pak	0x013B8871	(Martial) Potion Super Saiyan 3	(武道家)超级赛亚人3药水
tbl0.pak	0x013B9159	(Martial) Potion Super Saiyan 4	(武道家)超级赛亚人4药水
tbl0.pak	0x013BCB3D	(Martial) Capsule Super Saiyan 1	(武道家)超级赛亚人1胶囊
tbl0.pak	0x013BCCB9	(Martial) Capsule Super Saiyan 2	(武道家)超级赛亚人2胶囊
tbl0.pak	0x013BCE35	(Martial) Capsule Super Saiyan 3	(武道家)超级赛亚人3胶囊
tbl0.pak	0x013BD71D	(Martial) Capsule Super Saiyan 4	(武道家)超级赛亚人4胶囊
tbl1.pak	0x012EAD5B	Skill! Power Up (Martial Artist)	技能!力量提升(武道家)
tbl1.pak	0x012EAE13	Skill! Power Up (Spiritualist)	技能!力量提升(气功师)
tbl1.pak	0x012EAF71	Skill! Power Up (Dragon Clan)	技能!力量提升(那美克龙族)
tbl1.pak	0x012EB0D7	Skill! Power Up (Wonder Majin)	技能!力量提升(意魔人)
tbl1.pak	0x012EB18B	Skill! Guard (Martial Artist)	技能!防御(武道家)
tbl1.pak	0x012EB237	Skill! Guard (Spiritualist)	技能!防御(气功师)
tbl1.pak	0x012EB37D	Skill! Guard (Dragon Clan)	技能!防御(那美克龙族)
tbl1.pak	0x012EB4CB	Skill! Guard (Wonder Majin)	技能!防御(意魔人)
tbl1.pak	0x012EB573	Skill! Dash (Martial Artist)	技能!冲刺(武道家)
tbl1.pak	0x012EB61B	Skill! Dash (Spiritualist)	技能!冲刺(气功师)
tbl1.pak	0x012EB759	Skill! Dash (Dragon Clan)	技能!冲刺(那美克龙族)
tbl1.pak	0x012EB89F	Skill! Dash (Wonder Majin)	技能!冲刺(意魔人)
tbl1.pak	0x012EB943	Skill! Counter Attack (Martial Artist)	技能!反击(武道家)
tbl1.pak	0x012EBA13	Skill! Counter Attack (Spiritualist)	技能!反击(气功师)
tbl1.pak	0x012EBBA1	Skill! Counter Attack (Dragon Clan)	技能!反击(那美克龙族)
tbl1.pak	0x012EBD37	Acquired Counter Attack Skill! (Wonder Majin)	已习得反击技能!(意魔人)
tbl1.pak	0x014B55A9	(Martial)Rainbow Shenron Buff	(武道家)彩虹神龙增益
tbl1.pak	0x014B55E9	(Spiritualist)Rainbow Shenron Buff	(气功师)彩虹神龙增益
tbl1.pak	0x014B5633	(Namek Warrior)Rainbow Shenron Buff	(那美克战士)彩虹神龙增益
tbl1.pak	0x014B567F	(Dragon Clan)Rainbow Shenron Buff	(那美克龙族)彩虹神龙增益
tbl1.pak	0x014B56C7	(Might Majin)Rainbow Shenron Buff	(大魔人)彩虹神龙增益
tbl1.pak	0x014B570F	(Wonder Majin)Rainbow Shenron Buff	(意魔人)彩虹神龙增益
# DISABLED_DUPLICATE_AFTER_SOURCE_REFRESH	tbl1.pak	0x015E285F	Flight Skill (Martial Art)	飞行技能(武道家)
tbl1.pak	*	Flight Skill (Spiritualist)	飞行技能(气功师)
tbl1.pak	*	Flight Skill (Dragon Clan)	飞行技能(那美克龙族)
tbl1.pak	*	Flight Skill (Wonder Majin)	飞行技能(意魔人)
tbl1.pak	0x0162AAF7	Monkey Rock Throw (Martial)	大猿投石(武道家)
