row_no	action	file	old_id	new_id	source_text	translation	note
3	kept_wildcard	tbl0.pak	*	*	AzureRenegade	苍蓝叛逆者	hits=1
4	kept_wildcard	tbl0.pak	*	*	BurningRenegade	燃烧叛逆者	hits=1
5	kept_wildcard	tbl1.pak	*	*	Azure Renegade	苍蓝叛逆者	hits=2
6	kept_wildcard	tbl1.pak	*	*	Burning Renegade	燃烧叛逆者	hits=2
7	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Fan	暗影暴君扇	hits=3
8	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Stick	暗影暴君棒	hits=3
9	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Wand	暗影暴君短棍	hits=3
10	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Trumpet	暗影暴君号	hits=3
11	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Club	暗影暴君棍	hits=3
12	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Sword	暗影暴君剑	hits=3
13	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Scroll	暗影暴君卷轴	hits=3
14	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Axe	暗影暴君斧	hits=3
15	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Claws	暗影暴君爪	hits=3
16	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Drums	暗影暴君鼓	hits=1
17	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Mask	暗影暴君面具	hits=3
18	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Gems	暗影暴君宝石	hits=1
19	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Armor	暗影暴君盔甲	hits=7
20	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Pants	暗影暴君裤子	hits=7
21	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Shoes	暗影暴君鞋子	hits=7
22	kept_wildcard	tbl1.pak	*	*	Shadow Sovereign Staff	暗影暴君杖	hits=3
23	kept_wildcard	tbl1.pak	*	*	Shadow Mech Dragon Ring X Type A	暗影机械暴龙戒指X型A	hits=1
24	kept_wildcard	tbl1.pak	*	*	Shadow Mech Dragon Ring X Type B	暗影机械暴龙戒指X型B	hits=1
25	kept_wildcard	tbl1.pak	*	*	Shadow Mech Dragon Necklace X	暗影机械暴龙项链X	hits=1
26	kept_wildcard	tbl1.pak	*	*	Shadow Mech Dragon Earring X Type A	暗影机械暴龙耳环X型A	hits=1
27	kept_wildcard	tbl1.pak	*	*	Shadow Mech Dragon Earring X Type B	暗影机械暴龙耳环X型B	hits=1
28	kept_wildcard	tbl1.pak	*	*	(Energy)Shadow Sovereign Gloves	暗影暴君气功手套	hits=1
29	kept_wildcard	tbl1.pak	*	*	(Physical)Shadow Sovereign Gloves	暗影暴君物理手套	hits=1
